province,year,track,schoolName,minScore
北京,2023,综合类,中国传媒大学,468
北京,2024,综合类,中国传媒大学,497
北京,2025,综合类,中国传媒大学,533
北京,2023,综合类,中国农业大学,459
北京,2024,综合类,中国农业大学,512
北京,2025,综合类,中国农业大学,549
北京,2023,综合类,中国劳动关系学院,378
北京,2024,综合类,中国劳动关系学院,411
北京,2025,综合类,中国劳动关系学院,431
北京,2023,综合类,中国地质大学（北京）,405
北京,2024,综合类,中国地质大学（北京）,433
北京,2025,综合类,中国地质大学（北京）,519
北京,2023,综合类,中国戏曲学院,453
北京,2024,综合类,中国戏曲学院,510
北京,2025,综合类,中国戏曲学院,510
北京,2023,综合类,中国政法大学,512
北京,2024,综合类,中国政法大学,461
北京,2025,综合类,中国政法大学,569
北京,2023,综合类,中国消防救援学院,507
北京,2024,综合类,中国消防救援学院,526
北京,2025,综合类,中国消防救援学院,507
北京,2023,综合类,中国石油大学（北京）,429
北京,2024,综合类,中国石油大学（北京）,474
北京,2025,综合类,中国石油大学（北京）,546
北京,2023,综合类,中国矿业大学（北京）,406
北京,2024,综合类,中国矿业大学（北京）,448
北京,2025,综合类,中国矿业大学（北京）,523
北京,2023,综合类,中国社会科学院大学,531
北京,2024,综合类,中国社会科学院大学,559
北京,2025,综合类,中国社会科学院大学,579
北京,2023,综合类,中国科学院大学,666
北京,2024,综合类,中国科学院大学,665
北京,2025,综合类,中国科学院大学,656
北京,2024,综合类,中国音乐学院,495
北京,2025,综合类,中国音乐学院,508
北京,2023,综合类,中央戏剧学院,533
北京,2024,综合类,中央戏剧学院,515
北京,2025,综合类,中央戏剧学院,528
北京,2023,综合类,中央民族大学,432
北京,2024,综合类,中央民族大学,480
北京,2025,综合类,中央民族大学,526
北京,2023,综合类,中央美术学院,560
北京,2024,综合类,中央美术学院,491
北京,2025,综合类,中央美术学院,519
北京,2023,综合类,中央财经大学,481
北京,2024,综合类,中央财经大学,511
北京,2025,综合类,中央财经大学,523
北京,2023,综合类,中央音乐学院,278
北京,2023,综合类,军事航天部队航天工程大学,556
北京,2024,综合类,军事航天部队航天工程大学,569
北京,2025,综合类,军事航天部队航天工程大学,526
北京,2023,综合类,北京中医药大学,438
北京,2024,综合类,北京中医药大学,410
北京,2025,综合类,北京中医药大学,516
北京,2023,综合类,北京交通大学,373
北京,2024,综合类,北京交通大学,465
北京,2025,综合类,北京交通大学,542
北京,2023,综合类,北京交通职业技术学院,435
北京,2024,综合类,北京交通职业技术学院,120
北京,2025,综合类,北京交通职业技术学院,120
北京,2024,综合类,北京交通运输职业学院,120
北京,2025,综合类,北京交通运输职业学院,120
北京,2023,综合类,北京京北职业技术学院,431
北京,2024,综合类,北京京北职业技术学院,120
北京,2025,综合类,北京京北职业技术学院,120
北京,2023,综合类,北京体育大学,399
北京,2024,综合类,北京体育大学,432
北京,2025,综合类,北京体育大学,391
北京,2024,综合类,北京体育职业学院,120
北京,2023,综合类,北京信息科技大学,423
北京,2024,综合类,北京信息科技大学,452
北京,2025,综合类,北京信息科技大学,482
北京,2023,综合类,北京信息职业技术学院,456
北京,2024,综合类,北京信息职业技术学院,460
北京,2025,综合类,北京信息职业技术学院,120
北京,2023,综合类,北京农业职业学院,458
北京,2024,综合类,北京农业职业学院,120
北京,2025,综合类,北京农业职业学院,198
北京,2023,综合类,北京农学院,398
北京,2024,综合类,北京农学院,434
北京,2025,综合类,北京农学院,438
北京,2024,综合类,北京劳动保障职业学院,120
北京,2025,综合类,北京劳动保障职业学院,120
北京,2023,综合类,北京化工大学,428
北京,2024,综合类,北京化工大学,473
北京,2025,综合类,北京化工大学,525
北京,2023,综合类,北京北大方正软件职业技术学院,293
北京,2024,综合类,北京北大方正软件职业技术学院,120
北京,2025,综合类,北京北大方正软件职业技术学院,120
北京,2023,综合类,北京协和医学院,454
北京,2024,综合类,北京协和医学院,522
北京,2025,综合类,北京协和医学院,531
北京,2024,综合类,北京卫生职业学院,208
北京,2025,综合类,北京卫生职业学院,218
北京,2023,综合类,北京印刷学院,358
北京,2024,综合类,北京印刷学院,383
北京,2025,综合类,北京印刷学院,467
北京,2023,综合类,北京城市学院,296
北京,2024,综合类,北京城市学院,225
北京,2025,综合类,北京城市学院,223
北京,2023,综合类,北京培黎职业学院,350
北京,2024,综合类,北京培黎职业学院,120
北京,2025,综合类,北京培黎职业学院,120
北京,2023,综合类,北京外国语大学,433
北京,2024,综合类,北京外国语大学,503
北京,2025,综合类,北京外国语大学,517
北京,2023,综合类,北京大学,605
北京,2024,综合类,北京大学,617
北京,2025,综合类,北京大学,623
北京,2023,综合类,北京大学医学部,614
北京,2024,综合类,北京大学医学部,627
北京,2025,综合类,北京大学医学部,609
北京,2023,综合类,北京工业大学,449
北京,2024,综合类,北京工业大学,473
北京,2025,综合类,北京工业大学,507
北京,2023,综合类,北京工业大学耿丹学院,304
北京,2024,综合类,北京工业大学耿丹学院,350
北京,2025,综合类,北京工业大学耿丹学院,430
北京,2023,综合类,北京工业职业技术学院,259
北京,2024,综合类,北京工业职业技术学院,120
北京,2025,综合类,北京工业职业技术学院,197
北京,2023,综合类,北京工商大学,457
北京,2024,综合类,北京工商大学,456
北京,2025,综合类,北京工商大学,484
北京,2023,综合类,北京师范大学,520
北京,2024,综合类,北京师范大学,541
北京,2025,综合类,北京师范大学,425
北京,2023,综合类,北京建筑大学,400
北京,2024,综合类,北京建筑大学,491
北京,2025,综合类,北京建筑大学,486
北京,2023,综合类,北京政法职业学院,444
北京,2024,综合类,北京政法职业学院,120
北京,2025,综合类,北京政法职业学院,122
北京,2023,综合类,北京服装学院,337
北京,2024,综合类,北京服装学院,434
北京,2025,综合类,北京服装学院,439
北京,2023,综合类,北京林业大学,373
北京,2024,综合类,北京林业大学,451
北京,2025,综合类,北京林业大学,520
北京,2023,综合类,北京汇佳职业学院,210
北京,2024,综合类,北京汇佳职业学院,120
北京,2025,综合类,北京汇佳职业学院,120
北京,2023,综合类,北京物资学院,398
北京,2024,综合类,北京物资学院,458
北京,2025,综合类,北京物资学院,425
北京,2023,综合类,北京理工大学,494
北京,2024,综合类,北京理工大学,549
北京,2025,综合类,北京理工大学,580
北京,2023,综合类,北京电子科技学院,558
北京,2024,综合类,北京电子科技学院,555
北京,2025,综合类,北京电子科技学院,573
北京,2023,综合类,北京电影学院,490
北京,2024,综合类,北京电影学院,524
北京,2025,综合类,北京电影学院,528
北京,2023,综合类,北京石油化工学院,272
北京,2024,综合类,北京石油化工学院,463
北京,2025,综合类,北京石油化工学院,454
北京,2023,综合类,北京科技大学,458
北京,2024,综合类,北京科技大学,490
北京,2025,综合类,北京科技大学,520
北京,2023,综合类,北京科技经营管理学院,357
北京,2024,综合类,北京科技经营管理学院,120
北京,2025,综合类,北京科技经营管理学院,120
北京,2023,综合类,北京科技职业大学,457
北京,2024,综合类,北京科技职业大学,217
北京,2025,综合类,北京科技职业大学,243
北京,2023,综合类,北京科技职业学院,120
北京,2024,综合类,北京科技职业学院,130
北京,2025,综合类,北京科技职业学院,120
北京,2023,综合类,北京第二外国语学院,455
北京,2024,综合类,北京第二外国语学院,487
北京,2025,综合类,北京第二外国语学院,499
北京,2023,综合类,北京第二外国语学院中瑞酒店管理学院,287
北京,2024,综合类,北京第二外国语学院中瑞酒店管理学院,355
北京,2025,综合类,北京第二外国语学院中瑞酒店管理学院,403
北京,2023,综合类,北京经济管理职业学院,404
